WORKSHOP_TITLE,WORKSHOP_START_DATE,URL,DISTINCT_PAGEVIEWS,TOTAL_PAGEVIEWS,LIVE_SIGNUPS,ON_DEMAND_SIGNUPS,ATTENDED_USERS,TOTAL_SIGNUPS,ENROLLED,ATTENDANCE_RATE,CONVERSION_RATE
Human-in-the-Loop Design Patterns,"Oct 27, 2025",https://maven.com/p/a83305,175,364,177,30,35,191,1,19.8%,0.5%
Build scalable Multiagent Memory Architectures,"Oct 13, 2025",https://maven.com/p/1e8491,132,334,234,26,37,249,4,15.8%,1.6%
Engineer Effective Context Systems,"Feb 4, 2026",https://maven.com/p/4449c0,0,0,47,2,12,48,1,25.5%,2.1%
Build Scalable Multi-agent AI Systems,"Jan 21, 2026",https://maven.com/p/0db1f5,0,0,440,45,61,463,4,13.9%,0.9%
Transition From Coder to Agentic Architect,"Jan 15, 2026",https://maven.com/p/7b2689,0,0,103,45,25,139,1,24.3%,0.7%
Launch a Production Agentic Application,"Feb 18, 2026",https://maven.com/p/2f7f42,0,0,127,31,32,151,2,25.2%,1.3%
Build your Agentic Work Crew (for Non-Technical jobs),"Feb 12, 2026",https://maven.com/p/2e8f6c,0,0,256,32,72,262,0,28.1%,0.0%
Build your AI Moat as Software Developer in 2026,"Nov 24, 2025",https://maven.com/p/13e5b4,193,457,220,38,49,245,2,22.3%,0.8%
Advanced Observability and Performance,"Nov 10, 2025",https://maven.com/p/d98747,111,215,217,27,29,233,4,13.4%,1.7%
Go from Idea to Deployed Multi-Agent App in 30 minutes,"Aug 26, 2025",https://maven.com/p/f89eb0,210,601,285,111,69,350,4,24.2%,1.1%
Quantify the ROI of your Agentic Solution,"Feb 11, 2026",https://maven.com/p/fd4796,0,0,62,6,14,66,0,22.6%,0.0%
Advanced Prompt Engineering & Agent Personas,"Sep 29, 2025",https://maven.com/p/c5faf1,162,354,167,88,48,242,4,28.7%,1.7%
Flows vs. Crews: When Structure Beats Autonomy,"Sep 15, 2025",https://maven.com/p/26eee4,99,307,24,54,8,75,1,33.3%,1.3%
From Coder to Architect: Coordinate a Team of AI Agents,"Dec 19, 2025",https://maven.com/p/3481f1,90,170,265,27,50,282,8,18.9%,2.8%
